jsonstat,.,|
label,Population by sex and age group. Canada. 2012
source,"Statistics Canada, CANSIM, table 051-0001"
updated,2012-09-27
href,https://json-stat.org/samples/canada.json
dimension,country,country,1,CA,Canada,geo
dimension,year,year,1,2012,2012,time
dimension,age,age group,20,T,total,4,0 to 4,9,5 to 9,14,10 to 14,19,15 to 19,24,20 to 24,29,25 to 29,34,30 to 34,39,35 to 39,44,40 to 44,49,45 to 49,54,50 to 54,59,55 to 59,64,60 to 64,69,65 to 69,74,70 to 74,79,75 to 79,84,80 to 84,89,85 to 89,older,90 and older
dimension,concept,concepts,2,POP,population,PERCENT,weight of age group in the population,metric,1|thousands of persons,1||%
dimension,sex,sex,3,T,total,M,male,F,female
data
country,year,age,concept,sex,status,value
CA,2012,T,POP,T,a,34880.5
CA,2012,T,POP,M,a,17309.1
CA,2012,T,POP,F,a,17571.3
CA,2012,T,PERCENT,T,a,100
CA,2012,T,PERCENT,M,a,100
CA,2012,T,PERCENT,F,a,100
CA,2012,4,POP,T,a,1928.8
CA,2012,4,POP,M,a,988.7
CA,2012,4,POP,F,a,940.1
CA,2012,4,PERCENT,T,a,5.5
CA,2012,4,PERCENT,M,a,5.7
CA,2012,4,PERCENT,F,a,5.3
CA,2012,9,POP,T,a,1857.1
CA,2012,9,POP,M,a,955
CA,2012,9,POP,F,a,902.1
CA,2012,9,PERCENT,T,a,5.3
CA,2012,9,PERCENT,M,a,5.5
CA,2012,9,PERCENT,F,a,5.1
CA,2012,14,POP,T,a,1877.3
CA,2012,14,POP,M,a,964.7
CA,2012,14,POP,F,a,912.6
CA,2012,14,PERCENT,T,a,5.4
CA,2012,14,PERCENT,M,a,5.6
CA,2012,14,PERCENT,F,a,5.2
CA,2012,19,POP,T,a,2163
CA,2012,19,POP,M,a,1108.2
CA,2012,19,POP,F,a,1054.7
CA,2012,19,PERCENT,T,a,6.2
CA,2012,19,PERCENT,M,a,6.4
CA,2012,19,PERCENT,F,a,6
CA,2012,24,POP,T,a,2441.1
CA,2012,24,POP,M,a,1254.2
CA,2012,24,POP,F,a,1186.9
CA,2012,24,PERCENT,T,a,7
CA,2012,24,PERCENT,M,a,7.2
CA,2012,24,PERCENT,F,a,6.8
CA,2012,29,POP,T,a,2452.3
CA,2012,29,POP,M,a,1246.8
CA,2012,29,POP,F,a,1205.5
CA,2012,29,PERCENT,T,a,7
CA,2012,29,PERCENT,M,a,7.2
CA,2012,29,PERCENT,F,a,6.9
CA,2012,34,POP,T,a,2406.3
CA,2012,34,POP,M,a,1203.5
CA,2012,34,POP,F,a,1202.8
CA,2012,34,PERCENT,T,a,6.9
CA,2012,34,PERCENT,M,a,7
CA,2012,34,PERCENT,F,a,6.8
CA,2012,39,POP,T,a,2307.2
CA,2012,39,POP,M,a,1155.2
CA,2012,39,POP,F,a,1152
CA,2012,39,PERCENT,T,a,6.6
CA,2012,39,PERCENT,M,a,6.7
CA,2012,39,PERCENT,F,a,6.6
CA,2012,44,POP,T,a,2384.6
CA,2012,44,POP,M,a,1199.4
CA,2012,44,POP,F,a,1185.2
CA,2012,44,PERCENT,T,a,6.8
CA,2012,44,PERCENT,M,a,6.9
CA,2012,44,PERCENT,F,a,6.7
CA,2012,49,POP,T,a,2681.3
CA,2012,49,POP,M,a,1350.1
CA,2012,49,POP,F,a,1331.2
CA,2012,49,PERCENT,T,a,7.7
CA,2012,49,PERCENT,M,a,7.8
CA,2012,49,PERCENT,F,a,7.6
CA,2012,54,POP,T,a,2703.2
CA,2012,54,POP,M,a,1352.3
CA,2012,54,POP,F,a,1350.9
CA,2012,54,PERCENT,T,a,7.7
CA,2012,54,PERCENT,M,a,7.8
CA,2012,54,PERCENT,F,a,7.7
CA,2012,59,POP,T,a,2428.5
CA,2012,59,POP,M,a,1199
CA,2012,59,POP,F,a,1229.5
CA,2012,59,PERCENT,T,a,7
CA,2012,59,PERCENT,M,a,6.9
CA,2012,59,PERCENT,F,a,7
CA,2012,64,POP,T,a,2063
CA,2012,64,POP,M,a,1010.2
CA,2012,64,POP,F,a,1052.8
CA,2012,64,PERCENT,T,a,5.9
CA,2012,64,PERCENT,M,a,5.8
CA,2012,64,PERCENT,F,a,6
CA,2012,69,POP,T,a,1645.1
CA,2012,69,POP,M,a,797.9
CA,2012,69,POP,F,a,847.2
CA,2012,69,PERCENT,T,a,4.7
CA,2012,69,PERCENT,M,a,4.6
CA,2012,69,PERCENT,F,a,4.8
CA,2012,74,POP,T,a,1190.7
CA,2012,74,POP,M,a,563.8
CA,2012,74,POP,F,a,626.8
CA,2012,74,PERCENT,T,a,3.4
CA,2012,74,PERCENT,M,a,3.3
CA,2012,74,PERCENT,F,a,3.6
CA,2012,79,POP,T,a,924.1
CA,2012,79,POP,M,a,418.9
CA,2012,79,POP,F,a,505.2
CA,2012,79,PERCENT,T,a,2.6
CA,2012,79,PERCENT,M,a,2.4
CA,2012,79,PERCENT,F,a,2.9
CA,2012,84,POP,T,a,718.8
CA,2012,84,POP,M,a,303.6
CA,2012,84,POP,F,a,415.2
CA,2012,84,PERCENT,T,a,2.1
CA,2012,84,PERCENT,M,a,1.8
CA,2012,84,PERCENT,F,a,2.4
CA,2012,89,POP,T,a,451
CA,2012,89,POP,M,a,164.1
CA,2012,89,POP,F,a,286.9
CA,2012,89,PERCENT,T,a,1.3
CA,2012,89,PERCENT,M,a,0.9
CA,2012,89,PERCENT,F,a,1.6
CA,2012,older,POP,T,a,257.1
CA,2012,older,POP,M,a,73.2
CA,2012,older,POP,F,a,183.9
CA,2012,older,PERCENT,T,a,0.7
CA,2012,older,PERCENT,M,a,0.4
CA,2012,older,PERCENT,F,a,1
